,S,A
91,8.63367274449444,3.494978479196559
92,8.621832820269955,3.241032998565277
93,8.60999289604547,3.620516499282642
94,8.597679374852007,3.6176470588235263
95,8.585839450627521,3.1025824964132
96,8.573525929434057,3.255380200860832
97,8.561686005209573,3.8414634146341435
98,8.549846080985088,3.1477761836441895
99,8.537532559791623,3.197991391678626
100,8.525692635567138,3.2482065997130545
101,8.513852711342654,3.5200860832137773
102,8.50153919014919,3.327833572453371
103,8.489699265924704,3.293400286944044
104,8.47738574473124,3.231707317073168
105,8.465545820506756,3.16571018651363
106,8.45370589628227,3.1908177905308484
107,8.441392375088801,3.3113342898134843
108,8.429552450864318,3.196556671449064
109,8.417238929670853,3.2804878048780504
110,8.405399005446368,3.2065997130559576
111,8.393559081221882,3.3744619799139146
112,8.381719156997399,3.1542324246771902
113,8.369405635803934,3.296987087517937
114,8.357565711579449,3.241032998565277
115,8.345252190385985,3.1771879483500696
116,8.3334122661615,3.1527977044476363
117,8.321098744968037,3.296987087517937
118,8.309258820743551,3.1183644189383095
119,8.297418896519066,3.197991391678626
120,8.285105375325603,3.126255380200864
121,8.273265451101118,3.0358680057388847
122,8.260951929907653,3.127690100430418
123,8.249112005683168,3.09827833572453
124,8.237272081458684,3.0523672883787634
125,8.22495856026522,3.1800573888091854
126,8.213118636040734,3.1183644189383095
127,8.201278711816249,3.164275466284076
128,8.188965190622786,3.1169296987087556
129,8.177125266398301,2.9390243902439046
130,8.164811745204837,2.965566714490677
131,8.152971820980351,3.140602582496412
132,8.141131896755867,2.989239598278333
133,8.128818375562403,3.225968436154952
134,8.116978451337918,2.8091822094691516
135,8.104664930144454,2.9641319942611233
136,8.09282500591997,2.902439024390247
137,8.080985081695484,3.196556671449064
138,8.06867156050202,2.959827833572453
139,8.056831636277536,2.965566714490677
140,8.04499171205305,2.4827833572453386
141,8.032678190859581,3.2230989956958362
142,8.020364669666117,2.730272596843612
143,8.008524745441632,2.5035868005738866
144,7.996684821217148,2.986370157819225
145,7.984844896992662,2.7711621233859396
146,7.972531375799198,2.990674318507887
147,7.960691451574713,2.873027259684359
148,7.948377930381249,2.7682926829268317
149,7.9365380061567645,2.898134863701577
150,7.92469808193228,2.232424677187949
151,7.912384560738816,2.4490674318507883
152,7.900544636514331,2.8156384505021523
153,7.8887047122898455,2.6800573888091836
154,7.876391191096382,2.4074605451936835
155,7.864551266871897,3.0186513629842215
156,7.852237745678433,2.6886657101865152
157,7.840397821453948,2.409612625538023
158,7.8280843002604845,2.8393113342898166
159,7.816244376035999,2.166427546628411
160,7.804404451811514,2.310616929698712
